record_id,redcap_event_name,stw_age,stw_n_correct_trials,phase_cog_online_paper
321594,phase_4_arm_1,48,58,1
321595,phase_4_arm_1,50,54,1
321626,phase_4_arm_1,46,45,2
321648,phase_4_arm_1,50,53,1
322270,phase_4_arm_1,45,50,1
322480,phase_4_arm_1,44,39,1
410032,phase_4_arm_1,62,59,1
410041,phase_4_arm_1,64,57,1
410071,phase_4_arm_2,61,49,2
410080,phase_4_arm_1,63,49,2
410084,phase_4_arm_1,64,53,1
410091,phase_4_arm_1,64,59,1
410094,phase_4_arm_1,61,57,1
410101,phase_4_arm_1,64,58,1
410113,phase_4_arm_1,62,54,1
410121,phase_4_arm_1,59,55,1
410169,phase_4_arm_1,57,58,1
410177,phase_4_arm_1,64,57,1
410182,phase_4_arm_1,60,56,1
410200,phase_4_arm_1,61,58,1
410222,phase_4_arm_1,62,59,1
410231,phase_4_arm_1,63,53,2
410243,phase_4_arm_1,64,58,2
410251,phase_4_arm_1,60,53,1
410256,phase_4_arm_1,58,56,2
410275,phase_4_arm_1,62,58,2
410292,phase_4_arm_2,61,46,1
410297,phase_4_arm_1,64,58,1
410301,phase_4_arm_1,63,54,2
410325,phase_4_arm_1,60,53,1
410337,phase_4_arm_1,59,53,1
410346,phase_4_arm_1,57,53,2
410354,phase_4_arm_1,55,40,2
410390,phase_4_arm_1,63,53,2
410398,phase_4_arm_1,60,48,2
410447,phase_4_arm_1,65,58,1
410453,phase_4_arm_1,61,57,2
412004,phase_4_arm_1,60,55,1
420075,phase_4_arm_1,59,48,2
420134,phase_4_arm_1,63,55,1
420148,phase_4_arm_1,62,58,1
420157,phase_4_arm_1,63,60,1
420173,phase_4_arm_1,55,58,2
420181,phase_4_arm_1,57,59,1
420188,phase_4_arm_1,62,53,2
420194,phase_4_arm_1,58,56,2
420195,phase_4_arm_1,58,58,2
420198,phase_4_arm_1,64,53,2
420202,phase_4_arm_1,57,53,2
420229,phase_4_arm_1,58,52,1
420231,phase_4_arm_1,60,57,1
420241,phase_4_arm_1,61,58,1
420244,phase_4_arm_1,55,58,1
420251,phase_4_arm_1,55,52,1
420259,phase_4_arm_1,57,53,1
420286,phase_4_arm_1,62,59,1
420317,phase_4_arm_1,55,58,1
420348,phase_4_arm_1,63,57,1
420378,phase_4_arm_1,64,57,2
420379,phase_4_arm_1,59,60,1
420383,phase_4_arm_1,54,48,1
420392,phase_4_arm_1,57,57,1
420402,phase_4_arm_1,55,47,2
420412,phase_4_arm_1,58,50,2
420416,phase_4_arm_1,61,56,1
420433,phase_4_arm_1,57,52,1
420464,phase_4_arm_1,61,57,1
420512,phase_4_arm_1,57,54,1
420566,phase_4_arm_1,56,55,2
420569,phase_4_arm_1,64,57,1
420589,phase_4_arm_1,57,59,1
420635,phase_4_arm_1,53,7,2
420680,phase_4_arm_1,57,54,1
420715,phase_4_arm_1,64,58,2
420718,phase_4_arm_1,59,52,2
420729,phase_4_arm_1,61,57,2
420731,phase_4_arm_1,58,58,1
420749,phase_4_arm_1,58,51,2
420846,phase_4_arm_1,64,55,1
420888,phase_4_arm_1,55,22,1
420936,phase_4_arm_1,55,56,2
420942,phase_4_arm_1,62,54,2
510001,phase_4_arm_1,71,58,2
510048,phase_4_arm_1,70,46,2
